Rule,Period,Trades,Win Rate %,Avg Net %,Total Return%,Max Drawdown%,Passed
Rule 1 - Reliable Bull,Period 1: 2010-2015,212,60.4,0.0947,21.95,-3.58,True
Rule 1 - Reliable Bull,Period 2: 2016-2020,337,69.7,0.1257,52.25,-2.56,True
Rule 1 - Reliable Bull,Period 3: 2021-2026,287,63.8,0.0868,27.8,-6.65,True
Rule 2 - Gap Down Bounce,Period 1: 2010-2015,37,62.2,0.1102,3.98,-5.79,True
Rule 2 - Gap Down Bounce,Period 2: 2016-2020,35,65.7,0.0005,-0.57,-15.35,False
Rule 2 - Gap Down Bounce,Period 3: 2021-2026,42,69.0,0.2819,12.27,-3.64,True
Rule 3 - Early Week Edge,Period 1: 2010-2015,240,57.5,0.0567,14.17,-5.61,True
Rule 3 - Early Week Edge,Period 2: 2016-2020,212,65.6,0.1132,26.67,-3.99,True
Rule 3 - Early Week Edge,Period 3: 2021-2026,244,65.2,0.0938,25.25,-2.83,True
Rule 4 - Combined Best,Period 1: 2010-2015,135,61.5,0.0787,11.02,-2.64,True
Rule 4 - Combined Best,Period 2: 2016-2020,203,71.9,0.1227,28.15,-1.3,True
Rule 4 - Combined Best,Period 3: 2021-2026,174,64.9,0.0723,13.2,-6.12,True
