Ticker,Rule1_ReliableBull,Rule3_EarlyWeek,Rule4_Combined,Avg_All_Rules
ADANIENT.NS,360.97,991.78,139.89,497.55
ADANIPORTS.NS,493.85,298.94,260.9,351.23
BPCL.NS,490.24,253.03,182.46,308.58
CIPLA.NS,447.88,162.39,212.4,274.22
TATACONSUM.NS,426.55,114.81,187.98,243.11
TATASTEEL.NS,257.57,239.72,172.21,223.17
APOLLOHOSP.NS,282.94,196.8,147.43,209.06
SBIN.NS,221.13,252.8,107.93,193.95
BAJAJFINSV.NS,244.88,185.08,148.53,192.83
ONGC.NS,245.41,192.56,104.12,180.7
COALINDIA.NS,261.79,150.78,104.48,172.35
INDUSINDBK.NS,191.72,167.47,135.92,165.04
SHRIRAMFIN.NS,202.47,219.59,71.78,164.61
BAJFINANCE.NS,267.48,90.83,122.39,160.23
BRITANNIA.NS,201.16,178.42,100.22,159.93
LT.NS,139.11,215.31,77.24,143.89
DIVISLAB.NS,245.67,76.53,90.66,137.62
BHARTIARTL.NS,193.1,98.7,112.99,134.93
EICHERMOT.NS,186.05,134.41,61.52,127.33
SUNPHARMA.NS,119.06,180.85,78.59,126.17
HCLTECH.NS,193.54,66.29,117.47,125.77
TITAN.NS,237.57,35.06,89.45,120.69
MARUTI.NS,146.13,112.15,66.9,108.39
HINDALCO.NS,152.22,120.03,49.66,107.3
NTPC.NS,136.75,86.52,86.57,103.28
M&M.NS,169.39,93.63,35.49,99.5
RELIANCE.NS,135.33,82.83,66.33,94.83
HEROMOTOCO.NS,108.41,126.8,41.38,92.2
AXISBANK.NS,112.75,103.02,55.41,90.39
LTIM.NS,123.2,53.52,84.8,87.17
DRREDDY.NS,98.63,72.99,88.72,86.78
JSWSTEEL.NS,142.63,52.58,61.96,85.72
ULTRACEMCO.NS,132.0,45.37,77.22,84.86
ICICIBANK.NS,150.78,50.19,47.21,82.73
NESTLEIND.NS,108.25,71.79,63.24,81.09
ITC.NS,103.55,91.78,44.88,80.07
TCS.NS,107.38,86.26,38.05,77.23
TECHM.NS,116.27,70.53,39.37,75.39
WIPRO.NS,84.68,92.54,48.89,75.37
INFY.NS,91.71,60.15,66.13,72.66
GRASIM.NS,106.91,23.03,73.82,67.92
BAJAJ-AUTO.NS,110.66,49.43,42.06,67.38
ASIANPAINT.NS,102.67,23.46,51.09,59.07
POWERGRID.NS,78.32,30.81,41.7,50.28
HDFCLIFE.NS,50.39,70.37,29.93,50.23
HDFCBANK.NS,60.15,42.56,21.1,41.27
HINDUNILVR.NS,19.89,43.3,13.64,25.61
SBILIFE.NS,29.8,28.88,7.09,21.92
KOTAKBANK.NS,8.14,54.72,-2.78,20.03
